[2025-12-20 14:06:34] [INFO] ML model and tokenizer loaded successfully.
[2025-12-20 14:06:34] [INFO] Started server process [32640]
[2025-12-20 14:06:34] [INFO] Waiting for application startup.
[2025-12-20 14:06:34] [INFO] [Lifespan] Server is starting up...
[2025-12-20 14:06:34] [INFO] Application startup complete.
[2025-12-20 14:06:34] [INFO] Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.68ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.69ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.72ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 35.21ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.95ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 50.48ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.98ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.98ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.98ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.98ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 52.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 51.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 57.06ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.53ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.03ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.03ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 61.58ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.73ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 33.73ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 34.74ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 11.60ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 24.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.13ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 25.64ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 27.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 27.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 27.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 27.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.10ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.64ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.64ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.64ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.64ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.64ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.63ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.63ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.63ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.62ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 29.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 30.12ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.60ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 28.60ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 38.63ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 42.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 42.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 42.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.17ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 41.24ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.24ms
[2025-12-20 14:06:42] [INFO] REQ: POST /predict - Status: 200 - Czas: 40.24ms
